mid,x1
1,12.00
2,2.00
3,8.00
4,29.00
5,48.00
6,55.00
7,3.00
9,6.00
11,4.00
12,5.00
13,41.00
14,15.00
15,105.00
17,50.00
18,9.00
19,76.00
20,119.00
21,15.00
22,14.00
23,19.00
24,4.00
25,194.00
26,10.00
27,17.00
28,24.00
29,4.00
30,7.00
31,47.00
33,9.00
34,7.00
35,85.00
36,3.00
37,22.00
38,7.00
39,34.00
40,136.00
41,5.00
42,1188.00
43,3.00
44,20.00
45,15.00
46,2.00
47,19.00
48,28.00
49,5.00
50,20.00
51,2.00
52,7.00
53,16.00
54,9.00
55,35.00
56,6.00
57,25.00
58,2467.00
59,1.00
60,23.00
61,9.00
62,6.00
63,12.00
64,11.00
66,15.00
68,27.00
69,30.00
70,1.00
71,2.00
72,67.00
73,7.00
74,76.00
75,94.00
76,212.00
77,36.00
78,3.00
79,299.00
81,30.00
83,26.00
84,8.00
85,35.00
86,29.00
87,86.00
88,30.00
90,3.00
92,111.00
93,58.00
94,14.00
95,4.00
96,411.00
97,7.00
98,16.00
99,6.00
100,8.00
101,10.00
102,4.00
103,4.00
104,21.00
105,31.00
106,9.00
107,7.00
108,2.00
109,33.00
110,28.00
111,7.00
112,55.00
113,91.00
114,2.00
115,2.00
116,4.00
118,8.00
119,11.00
120,202.00
121,9.00
122,181.00
125,483.00
127,2.00
128,5.00
129,1763.00
130,21.00
131,12.00
132,54.00
133,35.00
134,27.00
135,4.00
136,7.00
137,3.00
138,8.00
139,8.00
140,23.00
141,4.00
142,5.00
143,46.00
144,2.00
145,11.00
146,10.00
147,24.00
149,35.00
150,145.00
151,2.00
152,7.00
153,9.00
154,21.00
155,12.00
156,8.00
157,6.00
158,1.00
159,12.00
160,11.00
161,1.00
162,15.00
163,6.00
165,137.00
166,17.00
167,9.00
168,5.00
169,8.00
170,6.00
171,1779.00
172,14.00
173,101.00
175,232.00
176,27.00
177,7.00
178,74.00
179,58.00
180,5.00
181,15.00
182,5.00
183,38.00
184,9.00
185,3.00
187,205.00
188,7.00
189,14.00
190,2.00
191,5.00
193,4.00
194,107.00
195,25.00
196,8.00
197,7.00
198,8.00
199,16.00
200,55.00
201,38.00
202,28.00
203,43.00
204,17.00
205,15.00
206,11.00
207,59.00
208,336.00
209,756.00
210,9.00
211,59.00
212,415.00
213,1.00
214,20.00
215,5.00
216,2.00
217,12.00
218,188.00
219,37.00
220,25.00
221,4.00
222,22.00
223,1.00
224,28.00
225,6.00
226,8.00
227,6.00
228,12.00
229,27.00
