uid,x1
8195,2.00
4,5.00
8197,1.00
3819,1.00
8204,2.00
13,1.00
15,7.00
17,1.00
18,3.00
8211,8.00
20,7.00
21,1.00
8216,11.00
25,18.00
8218,1.00
8219,1.00
28,1.00
8223,2.00
8225,1.00
8226,10.00
35,2.00
8228,1.00
8230,1.00
40,5.00
42,59.00
8235,1.00
8236,25.00
8239,6.00
48,9.00
50,8.00
8244,7.00
8245,2.00
8246,5.00
55,2.00
58,97.00
8251,2.00
8252,3.00
61,1.00
8254,2.00
8258,5.00
8259,2.00
69,2.00
8263,3.00
8265,5.00
74,13.00
75,24.00
76,6.00
8269,4.00
79,1.00
81,1.00
8274,2.00
83,2.00
84,1.00
8277,3.00
86,6.00
87,2.00
88,2.00
8282,3.00
92,2.00
93,3.00
8286,9.00
96,17.00
8291,3.00
8292,87.00
8209,2.00
105,6.00
106,1.00
107,4.00
109,2.00
8302,1.00
8304,3.00
8305,69.00
19,1.00
8309,2.00
8310,9.00
120,1.00
8313,2.00
122,7.00
8316,2.00
125,16.00
128,1.00
8321,16.00
130,1.00
132,3.00
133,8.00
134,1.00
8330,16.00
139,1.00
140,2.00
8334,1.00
143,1.00
8336,2.00
8337,1.00
146,3.00
8339,5.00
150,6.00
8217,2.00
152,1.00
8347,8.00
5,3.00
157,3.00
159,1.00
160,2.00
8353,5.00
8354,3.00
8355,3.00
165,4.00
8359,8.00
171,304.00
8364,5.00
173,29.00
8366,1.00
175,12.00
176,3.00
178,6.00
179,3.00
8375,4.00
8377,2.00
187,20.00
189,1.00
8382,1.00
8384,4.00
8385,2.00
8386,56.00
196,3.00
8389,1.00
8390,196.00
8391,1.00
200,13.00
201,4.00
8394,11.00
8396,3.00
34,1.00
8398,2.00
207,5.00
208,13.00
209,195.00
8402,12.00
211,3.00
212,64.00
8405,5.00
8406,3.00
216,1.00
36,3.00
218,27.00
219,8.00
221,4.00
222,3.00
8415,1.00
8418,1.00
8419,1.00
8421,8.00
8422,40.00
8423,2.00
8424,2.00
8425,1.00
235,1.00
8429,1.00
8431,2.00
240,1.00
8433,54.00
8435,1.00
246,15.00
8439,1.00
8441,24.00
251,2.00
281,9.00
8234,1.00
255,1.00
8451,1.00
262,14.00
8456,3.00
266,1.00
8461,3.00
8462,5.00
8463,3.00
273,4.00
8466,1.00
8468,1.00
277,1.00
278,1.00
8473,4.00
8475,5.00
8476,26.00
285,1.00
286,10.00
8479,2.00
289,3.00
2779,1.00
8486,1.00
8487,1.00
296,1.00
8489,1.00
8490,2.00
299,1.00
8493,4.00
8494,1.00
303,10.00
8496,8.00
8497,1.00
307,1.00
8500,4.00
8502,5.00
8349,4.00
8506,2.00
316,1.00
317,16.00
8510,21.00
8514,1.00
8515,1.00
324,3.00
327,1.00
328,4.00
330,5.00
8523,3.00
334,2.00
8527,3.00
336,2.00
339,2.00
8533,2.00
342,20.00
343,5.00
8536,15.00
346,2.00
347,1.00
350,7.00
351,23.00
8545,3.00
8546,5.00
355,2.00
357,1.00
359,2.00
8554,1.00
8555,1.00
8557,1.00
8558,5.00
8559,1.00
8560,2.00
8562,1.00
8563,2.00
62,1.00
8566,3.00
375,14.00
8570,2.00
8571,3.00
380,159.00
8573,1.00
382,12.00
8575,7.00
384,4.00
385,1.00
386,8.00
2795,1.00
388,23.00
389,5.00
390,1.00
391,16.00
392,1.00
8585,1.00
8586,7.00
395,5.00
8588,1.00
8589,3.00
398,32.00
399,1.00
400,2.00
8593,1.00
8594,3.00
403,1.00
8597,1.00
406,5.00
407,2.00
408,1.00
409,1.00
410,2.00
411,6.00
8605,3.00
414,2.00
8607,4.00
8608,3.00
8610,2.00
419,1.00
420,1.00
8613,6.00
8614,133.00
423,2.00
8616,4.00
8619,17.00
428,1.00
431,2.00
433,2.00
434,1.00
435,1.00
437,1.00
8630,1.00
73,1.00
8632,1.00
441,10.00
442,15.00
8636,3.00
8638,5.00
447,2.00
8640,1.00
8641,4.00
450,933.00
451,10.00
453,1.00
456,2.00
457,5.00
8651,1.00
8653,43.00
8654,9.00
463,8.00
8656,12.00
8658,1.00
8660,21.00
8661,3.00
8662,17.00
471,1.00
8664,1.00
8666,9.00
477,6.00
478,4.00
8672,2.00
8674,1.00
483,1.00
8676,2.00
8678,48.00
8679,1.00
8680,1.00
490,3.00
492,2.00
82,2.00
495,2.00
8688,7.00
497,1.00
500,2.00
8693,12.00
503,11.00
504,2.00
8697,6.00
506,1.00
8699,8.00
508,11.00
8702,1.00
85,5.00
512,30.00
514,1.00
8708,1.00
517,102.00
8710,51.00
519,11.00
8712,12.00
8713,1.00
523,4.00
8716,6.00
8721,9.00
8722,4.00
531,2.00
8724,2.00
8728,4.00
8730,1.00
539,2.00
540,1.00
8733,1.00
8734,9.00
543,1.00
8736,9.00
545,2.00
8739,1.00
