mid,use_coupon_percentage
8195,0.00052
4,0.00129
8197,0.00026
3819,0.00026
8204,0.00052
13,0.00026
15,0.00181
17,0.00026
18,0.00077
8211,0.00207
20,0.00181
21,0.00026
8216,0.00284
25,0.00465
8218,0.00026
8219,0.00026
28,0.00026
8223,0.00052
8225,0.00026
8226,0.00258
35,0.00052
8228,0.00026
8230,0.00026
40,0.00129
42,0.01524
8235,0.00026
8236,0.00646
8239,0.00155
48,0.00232
50,0.00207
8244,0.00181
8245,0.00052
8246,0.00129
55,0.00052
58,0.02505
8251,0.00052
8252,0.00077
61,0.00026
8254,0.00052
8258,0.00129
8259,0.00052
69,0.00052
8263,0.00077
8265,0.00129
74,0.00336
75,0.00620
76,0.00155
8269,0.00103
79,0.00026
81,0.00026
8274,0.00052
83,0.00052
84,0.00026
8277,0.00077
86,0.00155
87,0.00052
88,0.00052
8282,0.00077
92,0.00052
93,0.00077
8286,0.00232
96,0.00439
8291,0.00077
8292,0.02247
8209,0.00052
105,0.00155
106,0.00026
107,0.00103
109,0.00052
8302,0.00026
8304,0.00077
8305,0.01782
19,0.00026
8309,0.00052
8310,0.00232
120,0.00026
8313,0.00052
122,0.00181
8316,0.00052
125,0.00413
128,0.00026
8321,0.00413
130,0.00026
132,0.00077
133,0.00207
134,0.00026
8330,0.00413
139,0.00026
140,0.00052
8334,0.00026
143,0.00026
8336,0.00052
8337,0.00026
146,0.00077
8339,0.00129
150,0.00155
8217,0.00052
152,0.00026
8347,0.00207
5,0.00077
157,0.00077
159,0.00026
160,0.00052
8353,0.00129
8354,0.00077
8355,0.00077
165,0.00103
8359,0.00207
171,0.07851
8364,0.00129
173,0.00749
8366,0.00026
175,0.00310
176,0.00077
178,0.00155
179,0.00077
8375,0.00103
8377,0.00052
187,0.00517
189,0.00026
8382,0.00026
8384,0.00103
8385,0.00052
8386,0.01446
196,0.00077
8389,0.00026
8390,0.05062
8391,0.00026
200,0.00336
201,0.00103
8394,0.00284
8396,0.00077
34,0.00026
8398,0.00052
207,0.00129
208,0.00336
209,0.05036
8402,0.00310
211,0.00077
212,0.01653
8405,0.00129
8406,0.00077
216,0.00026
36,0.00077
218,0.00697
219,0.00207
221,0.00103
222,0.00077
8415,0.00026
8418,0.00026
8419,0.00026
8421,0.00207
8422,0.01033
8423,0.00052
8424,0.00052
8425,0.00026
235,0.00026
8429,0.00026
8431,0.00052
240,0.00026
8433,0.01395
8435,0.00026
246,0.00387
8439,0.00026
8441,0.00620
251,0.00052
281,0.00232
8234,0.00026
255,0.00026
8451,0.00026
262,0.00362
8456,0.00077
266,0.00026
8461,0.00077
8462,0.00129
8463,0.00077
273,0.00103
8466,0.00026
8468,0.00026
277,0.00026
278,0.00026
8473,0.00103
8475,0.00129
8476,0.00671
285,0.00026
286,0.00258
8479,0.00052
289,0.00077
2779,0.00026
8486,0.00026
8487,0.00026
296,0.00026
8489,0.00026
8490,0.00052
299,0.00026
8493,0.00103
8494,0.00026
303,0.00258
8496,0.00207
8497,0.00026
307,0.00026
8500,0.00103
8502,0.00129
8349,0.00103
8506,0.00052
316,0.00026
317,0.00413
8510,0.00542
8514,0.00026
8515,0.00026
324,0.00077
327,0.00026
328,0.00103
330,0.00129
8523,0.00077
334,0.00052
8527,0.00077
336,0.00052
339,0.00052
8533,0.00052
342,0.00517
343,0.00129
8536,0.00387
346,0.00052
347,0.00026
350,0.00181
351,0.00594
8545,0.00077
8546,0.00129
355,0.00052
357,0.00026
359,0.00052
8554,0.00026
8555,0.00026
8557,0.00026
8558,0.00129
8559,0.00026
8560,0.00052
8562,0.00026
8563,0.00052
62,0.00026
8566,0.00077
375,0.00362
8570,0.00052
8571,0.00077
380,0.04106
8573,0.00026
382,0.00310
8575,0.00181
384,0.00103
385,0.00026
386,0.00207
2795,0.00026
388,0.00594
389,0.00129
390,0.00026
391,0.00413
392,0.00026
8585,0.00026
8586,0.00181
395,0.00129
8588,0.00026
8589,0.00077
398,0.00826
399,0.00026
400,0.00052
8593,0.00026
8594,0.00077
403,0.00026
8597,0.00026
406,0.00129
407,0.00052
408,0.00026
409,0.00026
410,0.00052
411,0.00155
8605,0.00077
414,0.00052
8607,0.00103
8608,0.00077
8610,0.00052
419,0.00026
420,0.00026
8613,0.00155
8614,0.03435
423,0.00052
8616,0.00103
8619,0.00439
428,0.00026
431,0.00052
433,0.00052
434,0.00026
435,0.00026
437,0.00026
8630,0.00026
73,0.00026
8632,0.00026
441,0.00258
442,0.00387
8636,0.00077
8638,0.00129
447,0.00052
8640,0.00026
8641,0.00103
450,0.24096
451,0.00258
453,0.00026
456,0.00052
457,0.00129
8651,0.00026
8653,0.01111
8654,0.00232
463,0.00207
8656,0.00310
8658,0.00026
8660,0.00542
8661,0.00077
8662,0.00439
471,0.00026
8664,0.00026
8666,0.00232
477,0.00155
478,0.00103
8672,0.00052
8674,0.00026
483,0.00026
8676,0.00052
8678,0.01240
8679,0.00026
8680,0.00026
490,0.00077
492,0.00052
82,0.00052
495,0.00052
8688,0.00181
497,0.00026
500,0.00052
8693,0.00310
503,0.00284
504,0.00052
8697,0.00155
506,0.00026
8699,0.00207
508,0.00284
8702,0.00026
85,0.00129
512,0.00775
514,0.00026
8708,0.00026
517,0.02634
8710,0.01317
519,0.00284
8712,0.00310
8713,0.00026
523,0.00103
8716,0.00155
8721,0.00232
8722,0.00103
531,0.00052
8724,0.00052
8728,0.00103
8730,0.00026
539,0.00052
540,0.00026
8733,0.00026
8734,0.00232
543,0.00026
8736,0.00232
545,0.00052
8739,0.00026
550,0.00052
553,0.00026
8746,0.00026
555,0.00129
8752,0.00103
8753,0.00052
564,0.00155
94,0.00077
567,0.00052
8760,0.00026
569,0.00026
8763,0.00052
8764,0.00026
574,0.00207
576,0.00258
8769,0.00026
8771,0.00181
580,0.00052
8773,0.00310
582,0.00336
8775,0.11441
8778,0.00052
587,0.00052
8780,0.00026
589,0.00077
592,0.00129
8786,0.00310
599,0.00181
600,0.00103
8793,0.00052
602,0.00052
8795,0.00026
604,0.00052
605,0.00077
607,0.00155
8800,0.00594
8801,0.00052
611,0.02738
614,0.00026
8807,0.00052
616,0.00026
8809,0.00052
618,0.00103
619,0.00026
8812,0.01214
626,0.00026
628,0.00052
629,0.00284
8822,0.00052
632,0.00052
8825,0.00026
8827,0.00026
636,0.00026
637,0.00026
8830,0.00026
8831,0.00207
640,0.00026
8833,0.00026
642,0.04003
8836,0.00026
646,0.00103
647,0.00026
648,0.00052
649,0.00052
650,0.00103
8843,0.00103
8844,0.00181
653,0.00052
654,0.00026
656,0.00103
8849,0.00026
8850,0.00052
8852,0.00026
110,0.00077
664,0.00181
665,0.00052
670,0.00310
1477,0.00026
672,0.00310
673,0.00026
674,0.00103
675,0.00077
113,0.00077
680,0.00284
683,0.00155
685,0.01111
686,0.00026
687,0.00026
33,0.00026
8307,0.00077
697,0.00026
698,0.00517
699,0.00052
701,0.00026
702,0.00026
705,0.00052
706,0.00026
707,0.00103
