uid,x1
8193,1.00
2,7.00
3,8.00
4,2.00
5,24.00
8198,2.00
8,2.00
8201,22.00
8203,10.00
12,1.00
8205,3.00
8206,22.00
15,57.00
17,30.00
8210,4.00
8211,3435.00
20,52.00
21,5.00
8214,1.00
8215,3.00
8216,75.00
25,44.00
8218,8.00
8219,3.00
28,20.00
8223,12.00
32,8.00
8225,5.00
8226,37.00
35,56.00
36,6.00
8230,4.00
39,28.00
40,25.00
42,431.00
8235,9.00
8236,54.00
8237,6.00
8239,12.00
48,11.00
8200,1.00
50,20.00
8244,19.00
8245,4.00
8246,10.00
55,14.00
8249,9.00
58,539.00
8251,64.00
60,24.00
61,6.00
8254,92.00
63,3.00
8731,36.00
8258,38.00
8259,29.00
69,3.00
70,2.00
8263,7.00
72,44.00
8265,19.00
74,33.00
75,56.00
76,221.00
8269,30.00
79,5.00
81,10.00
8274,21.00
83,12.00
8276,93.00
14,9.00
8278,8.00
87,64.00
88,9.00
8281,4.00
8282,33.00
8284,9.00
93,12.00
8286,31.00
96,376.00
8290,2.00
8291,18.00
8292,69.00
102,2.00
8209,6.00
105,12.00
106,7.00
107,2.00
108,3.00
109,48.00
8302,3.00
8303,6.00
8304,9.00
113,57.00
114,2.00
19,13.00
8309,27.00
8310,48.00
120,43.00
8313,9.00
122,80.00
8316,9.00
125,125.00
8318,14.00
127,1.00
128,2.00
129,345.00
130,17.00
8323,14.00
132,26.00
133,11.00
134,30.00
8328,5.00
137,2.00
138,5.00
8331,4.00
140,3.00
142,5.00
143,5.00
8336,5.00
8337,9.00
146,12.00
8339,3.00
148,2.00
8341,5.00
150,68.00
151,25.00
8344,4.00
8347,2.00
8349,88.00
159,17.00
160,3.00
8353,18.00
8354,9.00
8355,28.00
165,19.00
166,13.00
8359,9.00
8360,13.00
169,5.00
171,1118.00
8364,14.00
173,49.00
8366,36.00
175,79.00
8368,9.00
8369,1.00
178,58.00
8371,2.00
4126,7.00
8375,18.00
8376,12.00
8377,11.00
8378,1.00
187,114.00
8380,7.00
189,12.00
8382,2.00
8384,10.00
193,1.00
8386,8841.00
196,10.00
8389,2.00
8390,763.00
8391,8.00
8392,4.00
201,42.00
8394,62.00
1399,2.00
8396,63.00
8397,4.00
206,5.00
207,71.00
208,190.00
209,3020.00
8402,16.00
211,65.00
212,232.00
8405,68.00
8406,2.00
215,1.00
8228,6.00
8410,15.00
219,12.00
8413,8.00
222,5.00
8415,16.00
225,5.00
8418,7.00
227,7.00
229,20.00
8422,105.00
8423,6.00
8425,14.00
8426,7.00
235,9.00
8429,5.00
239,12.00
8432,4.00
8433,148.00
242,4.00
8435,1.00
8436,1.00
245,5.00
8438,249.00
8439,1.00
248,4.00
8441,46.00
250,12.00
251,7.00
253,3.00
8446,11.00
255,17.00
8448,8.00
8449,5.00
258,9.00
8451,6.00
8452,1.00
262,90.00
263,3.00
8456,3.00
44,16.00
266,9.00
4646,4.00
268,5.00
8461,3.00
8462,18.00
8463,9.00
272,6.00
273,69.00
8466,66.00
275,4.00
8468,2.00
