mid,get_then_use_coupon
8195,0.80
4,0.71
8197,0.17
3819,0.30
8204,0.08
13,0.30
15,0.11
17,0.03
18,0.23
8211,0.00
20,0.12
21,0.17
8216,0.13
25,0.28
8218,0.11
8219,0.25
28,0.04
8223,0.14
8225,0.14
8226,0.21
35,0.03
8228,0.14
8230,0.20
40,0.16
42,0.12
8235,0.10
8236,0.32
8239,0.33
48,0.45
50,0.29
8244,0.23
8245,0.33
8246,0.33
55,0.12
58,0.15
8251,0.03
8252,0.30
61,0.14
8254,0.02
8258,0.11
8259,0.06
69,0.33
8263,0.30
8265,0.20
74,0.28
75,0.30
76,0.03
8269,0.11
79,0.17
81,0.08
8274,0.08
83,0.14
84,0.40
8277,0.05
86,0.35
87,0.03
88,0.18
8282,0.08
92,0.29
93,0.20
8286,0.22
96,0.04
8291,0.14
8292,0.53
8209,0.25
105,0.30
106,0.12
107,0.67
109,0.04
8302,0.25
8304,0.25
8305,0.02
19,0.07
8309,0.07
8310,0.15
120,0.02
8313,0.18
122,0.08
8316,0.13
125,0.11
128,0.30
8321,0.76
130,0.05
132,0.10
133,0.42
134,0.03
8330,0.24
139,0.20
140,0.33
8334,0.25
143,0.17
8336,0.22
8337,0.10
146,0.20
8339,0.62
150,0.08
8217,0.11
152,0.40
8347,0.80
5,0.11
157,0.14
159,0.06
160,0.40
8353,0.22
8354,0.25
8355,0.10
165,0.15
8359,0.42
171,0.21
8364,0.25
173,0.32
8366,0.03
175,0.11
176,0.75
178,0.09
179,0.08
8375,0.17
8377,0.15
187,0.14
189,0.08
8382,0.30
8384,0.27
8385,0.17
8386,0.01
196,0.21
8389,0.20
8390,0.20
8391,0.11
200,0.72
201,0.09
8394,0.15
8396,0.05
34,0.17
8398,0.33
207,0.07
208,0.06
209,0.06
8402,0.43
211,0.04
212,0.22
8405,0.07
8406,0.60
216,0.70
36,0.33
218,0.21
219,0.40
221,1.00
222,0.33
8415,0.06
8418,0.12
8419,0.40
8421,0.33
8422,0.25
8423,0.25
8424,0.80
8425,0.06
235,0.10
8429,0.14
8431,0.50
240,0.20
8433,0.27
8435,0.40
246,0.30
8439,0.40
8441,0.34
251,0.22
281,0.09
8234,0.08
255,0.05
8451,0.14
262,0.13
8456,0.50
266,0.10
8461,0.50
8462,0.22
8463,0.25
273,0.05
8466,0.01
8468,0.30
277,0.70
278,0.70
8473,0.05
8475,0.71
8476,0.08
285,0.08
286,0.04
8479,0.03
289,0.33
2779,0.40
8486,0.14
8487,0.25
296,0.10
8489,0.17
8490,0.33
299,0.17
8493,0.11
8494,0.20
303,0.26
8496,0.23
8497,0.03
307,0.10
8500,0.31
8502,0.50
8349,0.04
8506,0.22
316,0.40
317,0.59
8510,0.15
8514,0.17
8515,0.20
324,0.38
327,0.10
328,0.24
330,0.28
8523,0.75
334,0.40
8527,0.27
336,0.80
339,0.60
8533,0.02
342,0.16
343,0.33
8536,0.27
346,0.25
347,0.04
350,0.64
351,0.61
8545,0.05
8546,0.05
355,0.11
357,0.30
359,0.40
8554,0.14
8555,0.10
8557,0.30
8558,0.42
8559,0.03
8560,0.11
8562,0.17
8563,0.22
62,0.30
8566,0.14
375,0.64
8570,0.08
8571,0.75
380,0.22
8573,0.10
382,0.24
8575,0.19
384,0.36
385,0.05
386,0.23
2795,0.25
388,0.11
389,0.38
390,0.30
391,0.12
392,0.30
8585,0.25
8586,0.14
395,0.28
8588,0.03
8589,0.21
398,0.03
399,0.40
400,0.15
8593,0.25
8594,0.03
403,0.40
8597,0.03
406,0.33
407,0.60
408,0.25
409,0.07
410,0.08
411,0.19
8605,0.60
414,0.40
8607,0.29
8608,0.33
8610,0.18
419,0.40
420,0.08
8613,0.29
8614,0.12
423,0.29
8616,0.12
8619,0.09
428,0.06
431,0.17
433,0.50
434,0.10
435,0.03
437,0.40
8630,0.30
73,0.25
8632,0.03
441,0.48
442,0.26
8636,0.14
8638,0.14
447,0.04
8640,0.14
8641,0.09
450,0.02
451,0.08
453,0.12
456,0.11
457,0.19
8651,0.02
8653,0.09
8654,0.56
463,0.13
8656,0.15
8658,0.17
8660,0.11
8661,0.07
8662,0.27
471,0.05
8664,0.20
8666,0.17
477,0.17
478,0.09
8672,0.33
8674,0.14
483,0.06
8676,0.07
8678,0.23
8679,0.25
8680,0.30
490,0.25
492,0.09
82,0.29
495,0.06
8688,0.04
497,0.06
500,0.29
8693,0.17
503,0.13
504,0.33
8697,0.43
506,0.08
8699,0.32
508,0.23
8702,0.11
85,0.71
512,0.50
514,0.03
8708,0.25
517,0.70
8710,0.78
519,0.42
8712,0.19
8713,0.30
523,0.44
8716,0.13
8721,0.06
8722,0.17
531,0.13
8724,0.05
8728,0.40
8730,0.20
539,0.06
540,0.12
8733,0.03
8734,0.08
543,0.11
8736,0.16
545,0.29
8739,0.14
550,0.29
553,0.25
8746,0.04
555,0.11
8752,0.31
8753,0.15
564,0.19
94,0.25
567,0.20
8760,0.70
569,0.30
8763,0.29
8764,0.09
574,0.36
576,0.04
8769,0.11
8771,0.05
580,0.40
8773,0.20
582,0.11
8775,0.47
8778,0.50
587,0.05
8780,0.30
589,0.30
592,0.26
8786,0.29
599,0.17
600,0.08
8793,0.33
602,0.25
8795,0.02
604,0.11
605,0.50
607,0.50
8800,0.11
8801,0.11
611,0.21
614,0.12
8807,0.25
616,0.11
8809,0.29
618,0.12
619,0.07
8812,0.51
626,0.09
628,0.15
629,0.00
8822,0.40
632,0.29
8825,0.03
8827,0.20
636,0.20
637,0.09
8830,0.40
8831,0.17
640,0.40
8833,0.17
642,0.69
8836,0.25
646,0.57
647,0.30
648,0.08
649,0.02
650,0.57
8843,0.14
8844,0.03
653,0.50
654,0.17
656,0.17
8849,0.40
8850,0.17
8852,0.08
110,0.12
664,0.25
665,0.07
670,0.34
1477,0.30
672,0.52
673,0.17
674,0.09
675,0.75
113,0.05
680,0.21
683,0.03
685,0.43
686,0.25
687,0.11
33,0.25
8307,0.38
697,0.14
698,0.57
699,0.06
701,0.25
702,0.20
705,0.60
706,0.05
707,0.12
709,0.03
711,0.14
714,0.40
715,0.23
716,0.70
718,0.73
721,0.14
723,0.13
724,0.30
729,0.19
731,0.08
733,0.40
734,0.26
735,0.25
736,0.44
739,0.17
741,0.07
742,0.24
743,0.25
744,0.01
745,0.20
747,0.13
748,0.43
751,0.40
752,0.30
755,0.05
756,0.50
760,0.06
764,0.14
768,0.89
772,0.09
775,0.18
776,0.60
777,0.26
779,0.15
780,0.21
8322,0.40
782,0.25
788,0.25
792,0.10
796,0.24
797,0.24
798,0.16
799,0.05
800,0.12
803,0.06
805,0.70
806,0.29
807,0.40
809,0.06
810,0.20
814,0.05
819,0.27
822,0.21
823,1.00
824,0.06
825,0.20
827,0.60
833,0.12
834,1.00
3067,0.14
840,0.18
8332,0.70
844,0.06
850,0.25
853,0.40
854,0.04
857,0.50
859,0.18
860,0.19
861,0.36
8212,0.42
866,0.14
869,0.03
874,0.50
876,0.05
877,0.04
880,0.60
883,0.04
889,0.21
890,0.17
891,0.67
892,0.06
894,0.10
899,0.70
8342,0.05
902,0.60
904,0.18
909,0.25
913,0.30
914,0.12
915,0.01
922,0.30
923,0.14
924,0.13
926,0.09
928,0.25
929,0.03
931,0.52
934,0.58
937,0.50
938,0.06
939,0.17
941,0.05
943,0.09
944,0.60
945,0.33
947,0.17
951,0.08
952,0.18
8351,0.12
958,0.19
959,0.08
962,0.40
963,0.52
966,0.38
969,0.50
