mid,use_coupon_percentage
8195,1.00
4,0.57
5,0.04
23212,1.00
13,0.33
15,0.08
16400,0.16
17,0.03
18,0.06
8211,0.00
8212,0.26
8216,0.09
25,0.09
8218,0.20
8219,0.25
42510,0.40
8223,0.06
24608,0.15
8225,0.14
8226,0.09
35,0.01
8228,0.12
24613,0.10
8230,0.20
35505,0.39
8232,0.11
32809,0.07
42,0.03
8236,0.14
41005,0.66
41006,0.17
8239,0.10
48,0.04
41009,0.29
50,0.22
31411,0.42
8244,0.13
8245,0.14
8246,0.35
55,0.06
49208,0.11
57401,0.50
58,0.04
49211,0.45
8252,0.25
61,0.12
8254,0.03
49215,0.15
8258,0.09
8259,0.06
8261,0.50
8263,0.27
8265,0.07
74,0.18
75,0.10
76,0.02
8269,0.07
79,0.14
42011,0.05
47800,0.15
8274,0.04
85,0.25
86,0.06
87,0.01
44114,0.05
8282,0.05
92,0.12
93,0.11
94,0.07
96,0.01
21711,0.39
8292,0.17
8209,0.11
105,0.08
43103,0.22
8299,1.00
33007,1.00
110,0.12
8304,0.07
8305,0.01
19,0.07
8309,0.06
8310,0.03
16504,0.33
8313,0.17
122,0.03
55106,0.14
125,0.04
24702,1.00
16511,0.04
128,0.25
8321,0.42
16514,0.15
16515,0.75
132,0.03
133,0.19
24712,1.00
8330,0.03
32907,0.10
140,0.33
43714,0.36
8334,0.25
143,0.17
41104,0.12
8337,0.10
146,0.19
8339,0.38
49301,0.25
150,0.01
8217,0.06
41112,0.90
49305,0.33
49306,0.32
8347,0.60
57500,0.28
157,0.16
39013,0.17
160,0.40
8353,0.20
57507,0.56
57508,0.24
165,0.07
57510,0.01
8359,0.05
57513,1.00
171,0.07
8364,0.24
173,0.15
8366,0.04
175,0.05
176,0.60
8370,0.22
179,0.07
8375,0.04
8377,0.08
187,0.03
8384,0.12
8385,0.14
8386,0.00
8388,0.25
8390,0.06
8391,0.11
200,0.44
8394,0.09
23806,1.00
8396,0.01
207,0.03
208,0.02
209,0.02
8402,0.16
32803,0.34
212,0.11
8405,0.05
8406,0.20
216,1.00
36,0.30
218,0.02
27205,0.05
221,0.50
222,0.20
223,0.33
24801,1.00
8418,0.12
8419,0.33
53200,0.10
8421,0.04
8422,0.03
8423,0.30
8424,0.50
59904,0.11
33002,0.09
28711,0.80
8429,0.12
24814,1.00
8431,0.50
31105,0.24
8433,0.15
46009,0.32
8435,0.33
41204,0.23
40107,1.00
246,0.11
28713,0.12
49400,0.24
8441,0.14
49109,1.00
49403,1.00
41002,0.67
41214,0.29
41215,0.09
57600,0.55
53201,0.56
259,0.12
49413,0.15
262,0.08
49415,0.50
8456,0.12
266,0.09
57611,0.50
57612,0.26
8461,0.14
8462,0.08
8463,0.20
273,0.05
8466,0.01
40108,0.07
8469,0.60
8473,0.04
8475,0.29
8476,0.03
286,0.02
8479,0.02
288,0.01
289,0.11
