mid,use_coupon_percentage
8195,0.30
4,0.11
5,0.02
23212,0.69
13,0.02
15,0.05
16400,0.42
17,0.02
18,0.07
8211,0.02
8212,0.15
8216,0.17
25,0.03
8218,0.01
8219,0.20
42510,0.40
8223,0.33
24608,0.03
8225,0.05
8226,0.08
35,0.01
8228,0.11
24613,0.11
8230,0.01
35505,0.41
8232,0.10
32809,0.07
42,0.01
8236,0.06
41005,0.51
41006,0.05
8239,0.03
48,0.02
41009,0.02
50,0.22
31411,0.15
8244,0.14
8245,0.02
8246,0.05
55,0.02
49208,0.03
57401,0.20
58,0.01
49211,0.17
8252,0.60
61,0.08
8254,0.02
49215,0.27
8258,0.03
8259,0.02
8261,0.50
8263,0.10
8265,0.03
74,0.09
75,0.07
76,0.02
8269,0.05
79,0.00
42011,0.00
47800,0.03
8274,0.01
85,0.04
86,0.03
87,0.01
44114,0.05
8282,0.03
92,0.01
93,0.03
94,0.06
96,0.01
21711,0.39
8292,0.06
8209,0.02
105,0.05
43103,0.01
8299,0.05
33007,0.53
110,0.08
8304,0.05
8305,0.05
19,0.01
8309,0.03
8310,0.01
16504,0.22
8313,0.29
122,0.01
55106,0.40
125,0.01
24702,0.50
16511,0.49
128,0.17
8321,0.18
16514,0.06
16515,0.06
132,0.02
133,0.09
24712,0.41
8330,0.01
32907,0.29
140,0.07
43714,0.64
8334,0.10
143,0.02
41104,0.04
8337,0.09
146,0.20
8339,0.17
49301,0.11
150,0.01
8217,0.06
41112,0.68
49305,0.09
49306,0.07
8347,0.60
57500,0.04
157,0.40
39013,0.10
160,0.13
8353,0.11
57507,0.06
57508,0.15
165,0.01
57510,0.08
8359,0.03
57513,0.04
171,0.05
8364,0.11
173,0.10
8366,0.02
175,0.02
176,0.10
8370,0.12
179,0.05
8375,0.01
8377,0.04
187,0.02
8384,0.06
8385,0.17
8386,0.06
8388,0.03
8390,0.03
8391,0.02
200,0.10
8394,0.05
23806,0.05
8396,0.01
207,0.03
208,0.01
