uid,x1
3670017,1.00
1572869,1.00
524296,22.00
5155500,1.00
3670026,1.00
5242892,4.00
2621453,4.00
7165272,2.00
349529,1.00
6291480,1.00
4194332,1.00
2097157,3.00
4194343,20.00
7340072,21.00
6815786,12.00
5679794,1.00
7340078,22.00
4194351,2.00
2097200,1.00
6815795,8.00
5242933,2.00
2621494,2.00
4718650,1.00
3145787,2.00
5242941,1.00
4194372,2.00
349537,7.00
524361,3.00
6291533,1.00
3145809,1.00
6815828,2.00
1572954,2.00
5767262,1.00
5242976,1.00
3670122,2.00
5767276,1.00
5767281,1.00
2097266,1.00
1572979,1.00
1048693,1.00
4019561,1.00
5767289,25.00
524412,3.00
1572989,1.00
3670142,1.00
5243009,1.00
1048706,1.00
3670148,2.00
6291591,1.00
7340172,1.00
2097297,13.00
7340178,2.00
3670164,1.00
4718746,1.00
3670171,1.00
3670173,1.00
3383355,2.00
165,12.00
6815912,13.00
5767196,1.00
524458,1.00
4106951,1.00
5767341,3.00
4718768,3.00
2621617,2.00
1048754,5.00
5243059,2.00
6553630,2.00
5155529,8.00
5243065,1.00
1048763,1.00
5243073,6.00
2097349,2.00
6553633,1.00
524492,1.00
2796237,1.00
5243089,2.00
6291667,1.00
3145942,6.00
215,1.00
4194522,1.00
6815967,1.00
2097382,1.00
1048808,10.00
6815979,1.00
2621679,3.00
1048819,1.00
6291704,4.00
1048832,1.00
6291715,2.00
4718853,3.00
524551,1.00
2097416,1.00
4944098,3.00
698332,1.00
3145998,3.00
3146003,8.00
5505070,1.00
2621719,1.00
5243160,10.00
285,1.00
2097438,5.00
6816041,1.00
1573166,1.00
1309366,3.00
6291761,1.00
3146035,1.00
3670326,1.00
3670328,3.00
1573178,1.00
315,3.00
316,6.00
3351962,6.00
3670069,1.00
5243206,2.00
1922444,2.00
1573195,8.00
4893410,1.00
3670350,13.00
4194640,1.00
5767506,1.00
6291795,14.00
5243224,2.00
1048921,3.00
1573211,1.00
5243232,1.00
7340385,1.00
2621794,1.00
4718948,10.00
524645,16.00
4312158,1.00
3146094,9.00
2621809,2.00
4194678,1.00
1485545,5.00
1573240,3.00
2097529,1.00
6641045,3.00
7340418,2.00
1573254,1.00
524682,5.00
3670415,1.00
2621841,1.00
4718995,2.00
1048985,2.00
5243290,3.00
417,2.00
3146147,2.00
3146148,2.00
5243304,1.00
435,1.00
6291893,1.00
5767606,1.00
6291896,2.00
4194745,1.00
7340478,4.00
448,13.00
3670465,2.00
6816194,2.00
452,2.00
5767622,3.00
3146184,16.00
3670473,2.00
2097618,1.00
467,6.00
470,1.00
5155577,7.00
4194781,2.00
4194782,1.00
7340513,1.00
5767651,3.00
17474,6.00
5243365,1.00
6291942,1.00
3670503,2.00
524776,2.00
489,1.00
1136039,2.00
2621932,1.00
1573357,3.00
2534141,3.00
5243379,1.00
6378921,6.00
1049089,4.00
4312163,3.00
3146244,5.00
2621957,2.00
6291974,1.00
4194825,3.00
3146250,2.00
2621963,1.00
6291982,1.00
1049104,1.00
7340561,4.00
2621970,12.00
2097688,1.00
5767706,1.00
2097698,3.00
3757489,1.00
7340585,1.00
3146283,1.00
6292014,3.00
4194867,2.00
3670580,1.00
7340126,2.00
7340600,3.00
5767738,2.00
5243451,32.00
3146304,3.00
4719169,1.00
4194882,1.00
5767751,1.00
7340616,7.00
5767754,18.00
524877,1.00
3670611,1.00
2622036,1.00
524886,1.00
6816343,1.00
3146329,2.00
5243486,2.00
2359397,3.00
3146337,1.00
524898,2.00
6292073,5.00
1049195,1.00
3670637,1.00
524910,1.00
7340655,4.00
5243504,1.00
1049206,2.00
3407977,1.00
6292088,1.00
7340667,2.00
524926,1.00
4194945,11.00
5243522,1.00
7340677,1.00
4719241,3.00
6816394,1.00
3146379,1.00
6029421,1.00
6816400,1.00
6292122,1.00
5243549,2.00
2622111,1.00
4719264,2.00
4194981,1.00
4456561,1.00
4194985,2.00
715804,4.00
2097842,4.00
2097843,3.00
6292150,11.00
1573559,1.00
696,23.00
524987,1.00
701,1.00
2097855,2.00
7340736,1.00
7340737,3.00
3495371,2.00
4195014,1.00
3146442,1.00
5767887,1.00
1573584,3.00
4195025,1.00
6816469,3.00
525014,7.00
6816474,2.00
4719325,2.00
5767902,2.00
738,1.00
1049315,1.00
7340772,2.00
3670140,2.00
755,1.00
5767925,4.00
4719351,1.00
3146488,1.00
6816506,6.00
4719357,1.00
766,1.00
525055,1.00
3146496,1.00
525060,6.00
1049350,2.00
5505153,1.00
2622223,1.00
5767956,2.00
789,1.00
6292246,14.00
6292253,13.00
798,3.00
3058480,6.00
5767970,1.00
6378971,1.00
3146532,4.00
2622245,1.00
4195115,1.00
4195119,1.00
4195122,1.00
6816566,16.00
4719418,1.00
1049403,1.00
3582773,1.00
3146561,2.00
2097988,1.00
4719429,18.00
7340870,1.00
4719432,1.00
2622281,1.00
3146570,1.00
1922530,1.00
2622292,1.00
5768026,8.00
7340892,3.00
3146589,2.00
865,1.00
5243748,2.00
7340177,1.00
3670889,3.00
5768043,4.00
878,1.00
3670895,1.00
881,2.00
3146610,4.00
525172,1.00
2513993,22.00
7340920,4.00
7340923,1.00
7340925,2.00
2098047,7.00
7340929,3.00
7340933,6.00
5768072,2.00
4719498,1.00
6816651,1.00
4195216,2.00
914,1.00
6816660,4.00
6292376,4.00
3334524,1.00
1573787,1.00
4719516,3.00
3670941,1.00
6291611,6.00
6816677,1.00
1573798,12.00
525227,1.00
525231,1.00
944,1.00
945,1.00
4195250,1.00
947,5.00
948,5.00
3146678,1.00
6292411,3.00
6816703,5.00
1573826,4.00
3146695,1.00
1573832,2.00
1573834,1.00
7341006,2.00
5243855,1.00
1573843,1.00
1049557,1.00
983,3.00
3146715,2.00
1049565,1.00
4719585,1.00
3146725,1.00
1049574,1.00
6292457,4.00
2098154,1.00
525294,1.00
1049585,3.00
5768178,2.00
525302,1.00
2098168,1.00
1049597,6.00
1049599,2.00
1049604,1.00
525318,1.00
7341063,1.00
1035,2.00
6292495,1.00
4195345,3.00
2098195,1.00
4195350,1.00
6292503,30.00
2098201,1.00
5243932,1.00
6641157,4.00
5768225,4.00
5768226,2.00
4696259,4.00
2098216,1.00
1049641,1.00
6292522,1.00
3671086,1.00
4719665,2.00
7340211,1.00
2098228,1.00
3757577,2.00
3671096,1.00
6816825,1.00
5243964,1.00
525383,1.00
4195400,1.00
6903308,1.00
4195404,1.00
5768269,1.00
4195406,1.00
3146832,1.00
6292563,1.00
1573972,10.00
2098261,1.00
6494443,2.00
525405,4.00
7341151,1.00
1049699,12.00
3146852,2.00
4719720,5.00
4719725,6.00
6292596,1.00
2622582,3.00
6292599,2.00
4980927,4.00
6816897,1.00
1574020,1.00
2184726,5.00
5768329,1.00
3146890,2.00
6816908,3.00
6292626,1.00
1574035,1.00
1223534,1.00
3671191,13.00
4195483,4.00
1183,1.00
525477,1.00
5768362,1.00
1202,1.00
4958135,2.00
1574070,1.00
7341243,3.00
1574079,1.00
2098369,1.00
2098370,1.00
525508,1.00
4195525,5.00
1574086,22.00
1049801,1.00
1226,1.00
4456653,3.00
6292689,12.00
6292690,2.00
1574099,1.00
6005621,1.00
3933020,1.00
6292698,1.00
3671259,2.00
7341277,2.00
1310928,2.00
209,1.00
525546,1.00
1574124,1.00
7341294,1.00
5244144,1.00
1049841,1.00
2098422,1.00
2098426,1.00
5244155,2.00
5768444,1.00
2622717,1.00
2622720,1.00
7341313,1.00
3671301,1.00
5680001,1.00
5768459,7.00
2098446,3.00
4195604,8.00
1302,1.00
1303,1.00
7341336,4.00
1223556,5.00
3671327,8.00
7341344,1.00
6292772,2.00
6361692,3.00
1318,9.00
5244199,1.00
2098474,2.00
5768491,1.00
2098478,2.00
6292789,1.00
1574198,1.00
7341369,2.00
525632,1.00
4719937,2.00
1574211,4.00
7341380,1.00
3147079,1.00
1223564,1.00
1049933,2.00
4195663,25.00
525648,16.00
5244244,1.00
437134,10.00
525658,1.00
7341403,11.00
2622814,1.00
2098527,2.00
4719973,6.00
6817127,1.00
3147112,25.00
3671401,2.00
1049963,1.00
3671405,6.00
2622834,1.00
5768564,1.00
2622838,6.00
1399,1.00
525689,2.00
2622847,1.00
1049988,1.00
6817157,7.00
1574278,1.00
525705,1.00
1049995,2.00
5768590,1.00
7341457,1.00
6817171,2.00
1050007,11.00
525722,8.00
3671451,1.00
1050013,1.00
3671454,1.00
525730,2.00
5768616,1.00
6817194,1.00
6292910,6.00
6292911,1.00
1456,1.00
1458,1.00
1459,1.00
1461,10.00
6817208,1.00
3147195,1.00
4195774,1.00
3671488,1.00
525764,1.00
1574343,1.00
6817225,1.00
2622926,1.00
4195792,1.00
1493,1.00
2622937,1.00
7341531,1.00
7341534,1.00
2184784,1.00
3147238,8.00
2622951,1.00
4195817,3.00
4195820,2.00
6817262,2.00
1574383,5.00
5244404,14.00
3671545,1.00
7078143,4.00
1532,2.00
4631466,1.00
2098687,1.00
1536,1.00
3671554,3.00
5768708,1.00
4195845,4.00
1574406,2.00
1574412,2.00
5244431,4.00
6816003,9.00
1559,1.00
3671577,3.00
4720158,1.00
4720159,3.00
6293025,1.00
1574434,2.00
3147300,3.00
4720166,5.00
2796465,11.00
349788,1.00
1398365,1.00
2098742,1.00
4456713,1.00
525882,5.00
2098751,1.00
525888,1.00
7341634,1.00
2623043,1.00
1050181,1.00
5244489,6.00
7341643,2.00
5244501,2.00
1574486,1.00
1050200,1.00
1574489,1.00
6817371,5.00
4720220,4.00
7341662,15.00
3147361,2.00
2534331,1.00
6379110,2.00
1574504,1.00
5244521,1.00
1643,4.00
525932,1.00
4720237,3.00
1223613,2.00
1574513,13.00
1574514,2.00
2098806,2.00
771653,1.00
1658,3.00
5244539,5.00
6116970,1.00
1574527,1.00
2098819,1.00
7341700,13.00
2534337,42.00
1673,1.00
3671696,1.00
1574548,1.00
5244566,1.00
5244568,2.00
7341721,1.00
5768859,1.00
7280076,4.00
7341727,1.00
2623136,1.00
6293153,1.00
2623141,1.00
6293161,2.00
4720299,1.00
4544114,2.00
5768879,2.00
5244593,4.00
1574579,5.00
5244598,2.00
6817463,2.00
7341753,1.00
526010,1.00
3147451,5.00
5768894,1.00
2098879,7.00
6293190,5.00
526024,3.00
7341773,3.00
3147472,7.00
6293201,1.00
526034,4.00
6029603,1.00
1748,8.00
6293207,13.00
1050328,2.00
4720346,5.00
7341787,9.00
2623196,1.00
7341789,3.00
5768926,21.00
3147488,1.00
5244644,12.00
6293223,1.00
6817513,1.00
1770,3.00
526063,1.00
4437827,4.00
2623218,1.00
1050357,4.00
4196087,1.00
1574648,1.00
7165567,3.00
6029610,2.00
1792,2.00
2098948,2.00
1797,2.00
3147526,1.00
1050380,7.00
4196109,7.00
2098959,2.00
6204376,2.00
4720402,3.00
5243182,1.00
1818,1.00
3147549,3.00
7341856,3.00
5680091,5.00
5768996,3.00
4720421,3.00
4196135,2.00
5769001,1.00
5769002,1.00
1574700,1.00
2623277,1.00
526128,2.00
2623282,15.00
5243187,1.00
3671860,1.00
4720438,3.00
3147576,2.00
3147579,1.00
3671868,1.00
5244734,3.00
3147588,1.00
1050440,1.00
4720457,2.00
5244749,1.00
6293329,2.00
6817619,2.00
5769045,2.00
1050457,1.00
3147610,13.00
6817627,2.00
1050460,1.00
1050466,4.00
4329667,2.00
3146044,1.00
3147632,2.00
6293364,2.00
4720501,1.00
5244797,1.00
2099072,1.00
3671942,1.00
2623368,2.00
5769097,2.00
2099082,3.00
2099083,1.00
6293388,4.00
6293394,1.00
2099091,11.00
2623383,1.00
3671960,6.00
6293402,1.00
1050525,6.00
2099103,5.00
2099104,2.00
6817697,1.00
7165595,1.00
2097478,1.00
1050534,14.00
1574823,1.00
5244842,8.00
5244843,8.00
3386933,2.00
4720558,1.00
2099124,1.00
6379166,2.00
1835337,1.00
3671992,7.00
2099129,8.00
5244858,2.00
3495583,1.00
4196286,11.00
5244865,1.00
5243211,3.00
1050570,1.00
6293453,4.00
2623439,12.00
4196306,1.00
1574867,5.00
1574868,1.00
2623445,1.00
7342040,2.00
4196314,2.00
5244891,1.00
2623453,1.00
6728699,2.00
6204575,5.00
5769193,2.00
2026,1.00
2099182,1.00
3845117,1.00
7342064,1.00
6817779,2.00
5244922,9.00
7021608,3.00
1050624,2.00
5244930,1.00
5244932,2.00
2623494,2.00
5244935,2.00
5244936,31.00
4544172,1.00
5244939,3.00
2060,1.00
3147791,1.00
526355,1.00
7342100,5.00
5769238,2.00
4196376,5.00
2623513,1.00
6293536,3.00
1050659,4.00
2099237,1.00
5769256,5.00
5769257,2.00
5708862,3.00
7342124,5.00
262493,2.00
3672112,10.00
3672122,2.00
1574971,3.00
6817854,1.00
1574976,2.00
6293569,11.00
4196420,3.00
2099269,1.00
2099270,13.00
1574984,2.00
2623562,2.00
6293579,1.00
6553954,1.00
4196430,1.00
5769302,1.00
2135,67.00
5769306,8.00
5942287,1.00
6293596,15.00
1575007,2.00
3147876,1.00
6293605,4.00
5245030,7.00
6817897,1.00
6817898,10.00
4196459,2.00
5245038,8.00
2623600,2.00
7342194,10.00
6817908,3.00
1050743,9.00
1050744,7.00
3672187,36.00
3147908,13.00
5769352,2.00
5245066,4.00
3147917,6.00
2191,1.00
1575057,2.00
3495619,2.00
1575060,1.00
4893721,2.00
3672223,1.00
5991589,3.00
526498,2.00
2211,1.00
2099364,7.00
4835962,2.00
2099366,2.00
5680156,1.00
3324698,5.00
6817965,1.00
3672238,2.00
4196527,3.00
2227,1.00
4720826,1.00
4451885,1.00
6293694,1.00
526528,1.00
1575105,1.00
5769412,5.00
1575109,2.00
7342279,1.00
4720841,2.00
1575116,2.00
3672273,3.00
2623698,1.00
3672275,1.00
2099415,1.00
4720856,1.00
3672290,2.00
4196585,3.00
2099435,1.00
4893736,12.00
6818038,2.00
3672313,2.00
7342330,1.00
6291839,1.00
3672319,1.00
526593,6.00
6293766,1.00
1050888,1.00
1575177,1.00
5245198,1.00
1501472,2.00
7342358,1.00
3672345,3.00
4196635,1.00
5592794,1.00
2623775,1.00
5769509,3.00
7342381,2.00
3672367,4.00
6293808,1.00
6818098,18.00
4196659,1.00
526645,1.00
5245239,4.00
526657,1.00
1050949,1.00
4981132,6.00
2623818,1.00
4720971,1.00
3233506,1.00
7342415,1.00
6293850,2.00
5245277,2.00
1575264,2.00
6293857,7.00
5769570,5.00
2623843,1.00
3672421,1.00
6293864,3.00
3058748,3.00
6029714,1.00
1012578,1.00
7342447,1.00
6293872,1.00
3672434,1.00
1050997,1.00
4196727,3.00
3148152,1.00
4196729,1.00
5245309,1.00
2431,1.00
526720,1.00
2623873,10.00
5769602,4.00
3320897,2.00
6293896,1.00
526729,1.00
6818186,1.00
3148171,5.00
2623886,1.00
2099600,1.00
3148177,2.00
5769619,1.00
2458,3.00
1573274,1.00
4721056,1.00
2623909,1.00
2623911,1.00
3148201,1.00
4544243,3.00
526773,1.00
5418057,5.00
2488,1.00
4721081,1.00
4196796,3.00
4196797,1.00
6477031,3.00
3148225,1.00
1575367,2.00
4196808,11.00
4196809,1.00
4282103,1.00
2623949,2.00
5245390,2.00
6293967,7.00
1051089,6.00
2515,2.00
2623957,16.00
1575385,1.00
4196831,1.00
4721121,23.00
6818276,1.00
526829,1.00
6818290,1.00
2359721,1.00
1575416,1.00
1223764,3.00
4721150,6.00
3583061,1.00
1575424,1.00
3672578,1.00
526854,5.00
3672584,3.00
7342605,1.00
3672591,3.00
7342608,7.00
2580,4.00
4196887,10.00
6818328,2.00
6294044,2.00
4196895,1.00
2593,1.00
526882,3.00
7342631,1.00
7342632,1.00
2624041,12.00
2624043,1.00
2099757,1.00
2624046,1.00
4631645,3.00
4019976,2.00
1575474,2.00
526899,12.00
3845214,1.00
6294074,1.00
2099776,2.00
526913,1.00
2624070,1.00
2099784,1.00
2624074,1.00
3672653,9.00
4721230,3.00
1051217,5.00
6294098,4.00
6990947,7.00
7342681,6.00
4721242,1.00
5769827,1.00
1575525,1.00
6641425,1.00
2099816,8.00
2673,1.00
1575546,2.00
3672703,1.00
1051266,1.00
7340481,1.00
1763356,1.00
5942381,3.00
2099859,1.00
5245590,1.00
2624152,1.00
4194756,3.00
527002,1.00
6990959,2.00
1575583,4.00
5769895,2.00
6294185,3.00
1575597,1.00
1051311,1.00
4197041,2.00
4721331,1.00
4719049,1.00
7253109,1.00
2099904,9.00
2099906,1.00
1051331,11.00
6818501,1.00
2099911,1.00
4721352,2.00
2764,3.00
2765,1.00
527054,3.00
3845240,3.00
6818514,1.00
7342804,1.00
4721367,1.00
7078351,12.00
5769949,2.00
6294238,6.00
5245663,6.00
1575649,2.00
