uid,x1
786434,1.00
5373963,1.00
2097165,1.00
4456464,3.00
5505043,1.00
1966100,1.00
4325398,1.00
6684695,2.00
3276824,2.00
6946845,2.00
5505054,1.00
1310751,11.00
3145760,1.00
7340072,1.00
6815786,1.00
1572909,1.00
1835054,1.00
5373999,2.00
262195,1.00
5242933,2.00
5374006,1.00
349537,2.00
4194376,1.00
1179721,1.00
262222,1.00
3145809,1.00
5898324,1.00
1235162,1.00
1704031,3.00
4325473,1.00
4849765,1.00
4849768,2.00
3670122,1.00
3801197,1.00
4265505,1.00
5111921,1.00
1835125,2.00
4456566,1.00
1310842,2.00
524412,1.00
2752642,1.00
5111939,1.00
484466,1.00
5636238,2.00
6422672,3.00
4587665,2.00
5941956,1.00
3801244,1.00
4587696,26.00
5243059,3.00
2228410,1.00
5505211,2.00
6422716,1.00
393406,2.00
4980927,1.00
5243073,1.00
2883780,1.00
3234116,3.00
2490569,1.00
2621644,7.00
4980941,1.00
5243089,1.00
4194515,1.00
1179861,1.00
5112022,1.00
6553816,1.00
4194522,1.00
262363,1.00
5723514,3.00
2359519,3.00
786660,3.00
3661840,1.00
1048808,1.00
1442030,2.00
2621679,1.00
5636336,1.00
917754,1.00
6422780,1.00
131114,1.00
5898494,1.00
3801343,1.00
6291715,1.00
4718853,1.00
3408137,1.00
4827863,1.00
5636373,1.00
5898518,1.00
5243160,4.00
1179929,1.00
7340314,1.00
7078173,1.00
2097438,1.00
5874654,1.00
6553898,1.00
4456747,2.00
3408174,1.00
2228527,2.00
4587834,1.00
4587835,1.00
6291772,1.00
6684991,1.00
6160710,1.00
1573195,2.00
1442124,2.00
3670350,2.00
6488121,5.00
6422879,1.00
2490730,3.00
2665191,1.00
655728,1.00
1311094,1.00
3539323,1.00
4325759,2.00
2228610,1.00
4981132,1.00
262544,1.00
262546,2.00
393621,1.00
131482,1.00
3932574,1.00
5374367,3.00
417,1.00
4194723,8.00
5420748,2.00
2884007,1.00
786870,3.00
917944,1.00
4981183,1.00
3670465,2.00
6816194,1.00
6685128,1.00
3670473,2.00
1966541,1.00
7078351,1.00
3932627,1.00
2752981,1.00
7340513,1.00
5767651,1.00
3146215,1.00
4325867,1.00
5286653,2.00
786929,1.00
1442296,1.00
6685184,1.00
786945,1.00
1878785,1.00
2621963,1.00
3429805,1.00
2621970,1.00
6423068,1.00
3932701,1.00
6685220,1.00
2097702,1.00
4259932,1.00
393770,2.00
131628,1.00
4194867,1.00
4457015,1.00
6947392,2.00
6947396,1.00
7209544,1.00
1551116,1.00
5767754,1.00
7340624,1.00
393809,2.00
771119,1.00
5898836,1.00
4588117,5.00
4325975,1.00
787033,2.00
5505630,7.00
1835620,1.00
2359910,1.00
262760,1.00
5289819,1.00
3801708,1.00
3670637,1.00
262769,1.00
2861843,1.00
2490996,1.00
2905535,3.00
1180284,1.00
4194941,1.00
5505662,3.00
4457104,1.00
1551128,6.00
6685333,1.00
918169,1.00
3015327,1.00
787104,1.00
262817,1.00
1704611,2.00
4194985,1.00
262827,1.00
687,2.00
4850352,1.00
2097843,2.00
3932852,2.00
696,4.00
3080308,1.00
1311424,1.00
787144,1.00
1442506,1.00
7209679,1.00
6161106,1.00
1835734,1.00
6161117,1.00
4981470,1.00
1835743,2.00
5374688,1.00
4006654,2.00
3408617,1.00
5636850,1.00
3408627,1.00
1966842,2.00
2228989,1.00
3539710,4.00
4850431,1.00
4981511,1.00
3932936,3.00
5505801,1.00
5243666,1.00
2229012,1.00
3801879,1.00
7209754,2.00
6292253,1.00
394020,1.00
1704745,1.00
5899050,2.00
5112620,4.00
6161201,1.00
3539762,1.00
4064052,1.00
6051294,1.00
6957073,1.00
4850501,1.00
2360135,1.00
131915,1.00
6947665,1.00
5132704,1.00
4588373,1.00
2884439,1.00
3277656,1.00
2884444,1.00
4981603,1.00
6030181,1.00
2359441,1.00
787309,1.00
394101,4.00
787326,2.00
2098047,1.00
6292360,1.00
5112717,1.00
3408789,2.00
3802009,1.00
2753437,4.00
4588453,1.00
1704872,1.00
480754,1.00
3539891,2.00
7209909,2.00
6161338,1.00
6554556,1.00
4850621,1.00
2360254,1.00
5461494,1.00
4940082,1.00
4064204,1.00
3802065,1.00
7209938,1.00
1573843,2.00
1049557,1.00
2491357,1.00
6947806,1.00
1836004,1.00
3933158,1.00
1967080,1.00
6292457,3.00
6554604,1.00
2229234,1.00
6161400,2.00
7187284,1.00
563057,2.00
4981760,1.00
2229256,1.00
1442826,1.00
4342732,1.00
918544,1.00
4064274,2.00
6292503,1.00
1836058,3.00
394272,2.00
5768225,1.00
2119175,1.00
3671086,1.00
787504,2.00
4719665,1.00
3408950,1.00
5506107,3.00
1049660,1.00
1311808,2.00
5899329,1.00
3015746,3.00
2753605,1.00
525383,1.00
4457544,1.00
6292556,1.00
4326482,3.00
1573972,1.00
6816855,1.00
6947932,1.00
525405,1.00
1180768,1.00
1442914,1.00
5767355,1.00
4457573,1.00
6161511,1.00
4719725,1.00
3409016,1.00
6247956,1.00
2229374,3.00
1967238,1.00
6750401,1.00
3933320,1.00
263306,2.00
6816908,1.00
5375119,1.00
3671191,2.00
3933341,1.00
6685854,1.00
5112996,2.00
6685862,2.00
1616753,1.00
656552,1.00
1311918,4.00
5658141,1.00
656570,1.00
3278012,7.00
3910517,1.00
4850884,1.00
4195525,3.00
3409094,1.00
6503176,2.00
7079119,1.00
1574099,1.00
5375194,1.00
5652095,1.00
656605,1.00
2098401,1.00
852177,1.00
525546,1.00
4588779,1.00
3671278,3.00
3802358,1.00
2491641,1.00
7079162,1.00
1967355,1.00
5899518,1.00
3540224,2.00
1878912,1.00
4588813,1.00
2753807,1.00
4588817,1.00
787730,2.00
6030611,1.00
4195604,1.00
1302,1.00
1967385,1.00
3671327,2.00
7341344,1.00
4850981,3.00
1318,2.00
1312041,1.00
3147050,1.00
5768491,1.00
4850993,1.00
5506363,1.00
4982076,2.00
4719937,1.00
3147079,1.00
6554952,1.00
5113162,1.00
6554956,1.00
4851021,2.00
7079246,1.00
4195663,1.00
525648,1.00
6030676,1.00
7079253,2.00
349207,1.00
4915429,1.00
615443,1.00
4719973,2.00
3802472,1.00
2753899,1.00
3671405,1.00
5375345,1.00
1836404,2.00
525689,1.00
3802494,1.00
1705343,5.00
4064642,1.00
1836422,2.00
1181068,1.00
3802512,1.00
3278226,1.00
7079319,2.00
3016088,1.00
525722,1.00
7079323,1.00
6292893,2.00
1443232,1.00
6161831,4.00
6817194,1.00
3540396,1.00
787888,2.00
1312178,2.00
394676,1.00
3845022,2.00
2162932,1.00
5637563,3.00
3933631,1.00
2491840,1.00
3561035,2.00
4982212,1.00
5113288,1.00
1836492,7.00
3016143,7.00
5637584,1.00
2229713,1.00
6161874,2.00
2754004,1.00
3278293,2.00
3802584,2.00
6555098,1.00
7231055,2.00
6686174,1.00
2491872,1.00
263651,1.00
2885098,1.00
6161902,1.00
655613,1.00
1705456,1.00
2491890,2.00
1332819,1.00
263670,1.00
5614506,1.00
1536,1.00
5768708,1.00
7079431,1.00
3933704,3.00
2360841,1.00
2360850,1.00
3671577,1.00
4982298,5.00
1574434,1.00
5439750,2.00
3802664,1.00
6948405,1.00
525882,6.00
6161981,1.00
