uid,use_coupon_percentage
13893632,0.01
14680065,0.02
2097157,0.01
10485766,0.01
11391398,0.01
830124,0.04
3670026,0.07
14417931,0.04
5242892,0.05
14417933,0.01
4456463,0.01
12613464,0.01
5767189,0.01
14155799,0.01
10747933,0.11
11534366,0.01
10485765,0.05
13893664,0.06
786465,0.01
14680098,0.02
2097187,0.02
4194340,0.01
6815782,0.02
12058664,0.01
5242921,0.04
12845099,0.05
7340078,0.01
15204399,0.01
5505074,0.01
13937331,0.01
5242933,0.01
2359350,0.01
13369399,0.14
10660533,0.01
6029376,0.10
786497,0.02
11272264,0.01
10485833,0.09
11272266,0.04
12845131,0.01
12058700,0.01
14417999,0.05
11010132,0.63
12583000,0.01
11621732,0.09
786525,0.02
1922405,0.01
13107298,0.02
13893731,0.15
14680164,0.01
14680165,0.02
14680166,0.02
4980839,0.02
10485864,0.20
3670122,0.01
2883694,0.02
13631600,0.01
7078003,0.01
14155898,0.05
12582933,0.05
11534465,0.09
7340165,0.01
15466633,0.02
15204500,0.04
11010198,0.10
5941956,0.02
14942364,0.04
11534499,0.02
13107365,0.04
15466665,0.07
12058799,0.01
13631664,0.01
7340211,0.01
1048756,0.02
11534533,0.01
15403166,0.01
14680266,0.07
10485966,0.06
209,0.01
13631698,0.02
6291667,0.06
7340245,0.01
215,0.02
11796700,0.04
3538730,0.01
12320999,0.37
786670,0.01
11272433,0.01
2097396,0.02
13631733,0.01
14418166,0.05
15204599,0.09
13150932,0.05
11796732,0.02
1048832,0.01
6291715,0.01
11534599,0.02
1310987,0.02
10486031,0.01
11272465,0.04
13631764,0.04
13631765,0.01
4981014,0.02
15204631,0.01
14418200,0.01
7340314,0.06
10223900,0.01
7078176,0.01
7078182,0.01
11534632,0.04
13893932,0.01
14680365,0.02
10486065,0.06
11272498,0.01
12058931,0.02
11272500,0.04
15204664,0.01
14418233,0.02
11749299,0.01
11796800,0.02
4456770,0.05
14156099,0.02
14942532,0.02
10597066,0.02
10748233,0.02
1573195,0.01
1354466,0.02
12058965,0.04
12058966,0.04
15204698,0.01
15204700,0.02
11665466,0.01
13850000,0.01
3670371,0.02
14156132,0.01
11534700,0.01
4194671,0.04
12626664,0.02
12058998,0.02
11840233,0.01
13631864,0.04
480660,0.01
15204732,0.01
11010432,0.01
11010433,0.02
12583298,0.06
387,0.02
10922732,0.01
11534733,0.01
13894033,0.04
11272599,0.01
10616900,0.01
13631898,0.02
15204764,0.14
15204766,0.06
11883931,0.01
2490438,0.01
6291878,0.02
2359719,0.02
11097500,0.04
4849735,0.02
12321199,0.05
10485832,0.02
5767606,0.04
262217,0.01
14418366,0.02
52389,0.04
6291531,0.04
12583365,0.01
2359751,0.05
13631564,0.04
11534799,0.02
12321233,0.01
2359762,0.01
14680532,0.05
10486231,0.06
10486233,0.04
12845532,0.01
786911,0.05
15204833,0.02
5767651,0.02
10224100,0.05
13369831,0.01
14156264,0.05
13107700,0.01
14680566,0.04
