uid,use_coupon_percentage
786434,0.01
5373963,0.01
2097165,0.01
4456464,0.03
5505043,0.01
1966100,0.01
4325398,0.01
6684695,0.02
3276824,0.02
6946845,0.02
5505054,0.01
1310751,0.11
3145760,0.01
7340072,0.01
6815786,0.01
1572909,0.01
1835054,0.01
5373999,0.02
262195,0.01
5242933,0.02
5374006,0.01
349537,0.02
4194376,0.01
1179721,0.01
262222,0.01
3145809,0.01
5898324,0.01
1235162,0.01
1704031,0.03
4325473,0.01
4849765,0.01
4849768,0.02
3670122,0.01
3801197,0.01
4265505,0.01
5111921,0.01
1835125,0.02
4456566,0.01
1310842,0.02
524412,0.01
2752642,0.01
5111939,0.01
484466,0.01
5636238,0.02
6422672,0.03
4587665,0.02
5941956,0.01
3801244,0.01
4587696,0.25
5243059,0.03
2228410,0.01
5505211,0.02
6422716,0.01
393406,0.02
4980927,0.01
5243073,0.01
2883780,0.01
3234116,0.03
2490569,0.01
2621644,0.07
4980941,0.01
5243089,0.01
4194515,0.01
1179861,0.01
5112022,0.01
6553816,0.01
4194522,0.01
262363,0.01
5723514,0.03
2359519,0.03
786660,0.03
3661840,0.01
1048808,0.01
1442030,0.02
2621679,0.01
5636336,0.01
917754,0.01
6422780,0.01
131114,0.01
5898494,0.01
3801343,0.01
6291715,0.01
4718853,0.01
3408137,0.01
4827863,0.01
5636373,0.01
5898518,0.01
5243160,0.04
1179929,0.01
7340314,0.01
7078173,0.01
2097438,0.01
5874654,0.01
6553898,0.01
4456747,0.02
3408174,0.01
2228527,0.02
4587834,0.01
4587835,0.01
6291772,0.01
6684991,0.01
6160710,0.01
1573195,0.02
1442124,0.02
3670350,0.02
6488121,0.05
6422879,0.01
2490730,0.03
2665191,0.01
655728,0.01
1311094,0.01
3539323,0.01
4325759,0.02
2228610,0.01
4981132,0.01
262544,0.01
262546,0.02
393621,0.01
131482,0.01
3932574,0.01
5374367,0.03
417,0.01
4194723,0.08
5420748,0.02
2884007,0.01
786870,0.03
917944,0.01
4981183,0.01
3670465,0.02
6816194,0.01
6685128,0.01
3670473,0.02
1966541,0.01
7078351,0.01
3932627,0.01
2752981,0.01
7340513,0.01
5767651,0.01
3146215,0.01
4325867,0.01
5286653,0.02
786929,0.01
1442296,0.01
6685184,0.01
786945,0.01
1878785,0.01
2621963,0.01
3429805,0.01
2621970,0.01
6423068,0.01
3932701,0.01
6685220,0.01
2097702,0.01
4259932,0.01
393770,0.02
131628,0.01
4194867,0.01
4457015,0.01
6947392,0.02
6947396,0.01
7209544,0.01
1551116,0.01
5767754,0.01
7340624,0.01
393809,0.02
771119,0.01
5898836,0.01
4588117,0.05
4325975,0.01
787033,0.02
5505630,0.07
1835620,0.01
2359910,0.01
262760,0.01
5289819,0.01
3801708,0.01
3670637,0.01
262769,0.01
2861843,0.01
2490996,0.01
2905535,0.03
1180284,0.01
4194941,0.01
5505662,0.03
4457104,0.01
1551128,0.06
6685333,0.01
918169,0.01
3015327,0.01
787104,0.01
262817,0.01
1704611,0.02
4194985,0.01
262827,0.01
687,0.02
4850352,0.01
2097843,0.02
3932852,0.02
696,0.04
3080308,0.01
1311424,0.01
787144,0.01
1442506,0.01
7209679,0.01
6161106,0.01
1835734,0.01
6161117,0.01
4981470,0.01
1835743,0.02
5374688,0.01
4006654,0.02
3408617,0.01
5636850,0.01
3408627,0.01
1966842,0.02
2228989,0.01
3539710,0.04
4850431,0.01
4981511,0.01
3932936,0.03
5505801,0.01
5243666,0.01
2229012,0.01
3801879,0.01
7209754,0.02
6292253,0.01
394020,0.01
1704745,0.01
5899050,0.02
5112620,0.04
6161201,0.01
3539762,0.01
4064052,0.01
6051294,0.01
6957073,0.01
4850501,0.01
2360135,0.01
131915,0.01
6947665,0.01
5132704,0.01
4588373,0.01
2884439,0.01
3277656,0.01
2884444,0.01
4981603,0.01
6030181,0.01
2359441,0.01
787309,0.01
394101,0.04
787326,0.02
2098047,0.01
6292360,0.01
5112717,0.01
3408789,0.02
3802009,0.01
2753437,0.04
4588453,0.01
1704872,0.01
480754,0.01
3539891,0.02
7209909,0.02
6161338,0.01
6554556,0.01
4850621,0.01
2360254,0.01
5461494,0.01
4940082,0.01
4064204,0.01
3802065,0.01
7209938,0.01
1573843,0.02
1049557,0.01
2491357,0.01
6947806,0.01
1836004,0.01
3933158,0.01
1967080,0.01
6292457,0.03
6554604,0.01
2229234,0.01
6161400,0.02
7187284,0.01
563057,0.02
4981760,0.01
2229256,0.01
1442826,0.01
4342732,0.01
918544,0.01
4064274,0.02
6292503,0.01
1836058,0.03
394272,0.02
5768225,0.01
2119175,0.01
3671086,0.01
787504,0.02
4719665,0.01
3408950,0.01
5506107,0.03
1049660,0.01
1311808,0.02
5899329,0.01
3015746,0.03
2753605,0.01
525383,0.01
4457544,0.01
6292556,0.01
4326482,0.03
1573972,0.01
6816855,0.01
6947932,0.01
525405,0.01
1180768,0.01
1442914,0.01
5767355,0.01
4457573,0.01
