uid,get_then_use_coupon
13893632,0.70
14680065,0.80
2097157,0.15
10485766,0.15
11391398,0.15
830124,0.60
3670026,0.15
14417931,2.10
5242892,1.00
14417933,0.70
4456463,0.15
12613464,0.70
5767189,0.15
14155799,0.70
10747933,0.15
11534366,0.30
10485765,2.80
13893664,0.56
786465,0.70
14680098,1.40
2097187,0.15
4194340,0.15
6815782,1.40
12058664,0.15
5242921,1.20
12845099,2.80
7340078,0.15
15204399,0.15
5505074,0.70
13937331,0.70
5242933,0.15
2359350,0.30
13369399,3.30
10660533,0.40
6029376,0.73
786497,0.40
11272264,0.20
10485833,0.15
11272266,0.90
12845131,0.15
12058700,0.15
14417999,0.67
11010132,2.43
12583000,0.10
11621732,4.90
786525,0.33
1922405,0.70
13107298,0.80
13893731,0.71
14680164,0.25
14680165,0.15
14680166,0.29
4980839,0.50
10485864,0.15
3670122,0.15
2883694,0.15
13631600,0.15
7078003,0.40
14155898,0.15
12582933,0.15
11534465,2.10
7340165,0.30
15466633,0.15
15204500,0.15
11010198,0.44
5941956,0.15
14942364,0.90
11534499,1.40
13107365,2.10
15466665,1.80
12058799,0.17
13631664,0.70
7340211,0.30
1048756,0.80
11534533,0.40
15403166,0.14
14680266,2.40
10485966,0.15
209,0.15
13631698,0.15
6291667,3.50
7340245,0.15
215,0.15
11796700,2.10
3538730,0.70
12320999,0.50
786670,0.20
11272433,0.14
2097396,0.15
13631733,0.15
14418166,1.60
15204599,2.10
13150932,1.20
11796732,0.15
1048832,0.40
6291715,0.70
11534599,0.15
1310987,0.15
10486031,0.15
11272465,0.15
13631764,0.15
13631765,0.20
4981014,0.15
15204631,0.70
14418200,0.15
7340314,0.45
10223900,0.30
7078176,0.17
7078182,0.17
11534632,1.20
13893932,0.15
14680365,0.80
10486065,0.56
11272498,0.15
12058931,1.40
11272500,0.15
15204664,0.25
14418233,0.80
11749299,0.40
11796800,0.15
4456770,0.15
14156099,0.15
14942532,0.80
10597066,0.15
10748233,0.18
1573195,0.15
1354466,0.15
12058965,0.90
12058966,0.15
15204698,0.20
15204700,0.80
11665466,0.15
13850000,0.70
3670371,0.15
14156132,0.40
11534700,0.70
4194671,0.15
12626664,0.15
12058998,1.40
11840233,0.15
13631864,0.90
480660,0.70
15204732,0.40
11010432,0.15
11010433,0.60
12583298,1.00
387,0.33
10922732,0.15
11534733,0.15
13894033,1.20
11272599,0.70
10616900,0.15
13631898,1.40
15204764,1.57
15204766,1.00
11883931,0.70
2490438,0.15
6291878,0.15
2359719,1.40
11097500,0.15
4849735,0.15
12321199,0.15
10485832,0.29
5767606,0.17
262217,0.15
14418366,1.40
52389,2.10
6291531,2.10
12583365,0.40
2359751,0.33
13631564,0.60
11534799,0.20
12321233,0.15
2359762,0.70
14680532,0.15
10486231,0.15
10486233,0.43
12845532,0.17
786911,0.15
15204833,0.40
5767651,0.10
10224100,0.15
13369831,0.25
14156264,0.15
13107700,0.15
14680566,0.15
15466999,0.15
10486265,2.10
12059131,0.15
1311229,0.40
14418431,0.25
14418433,0.80
10544698,0.15
10224132,0.30
13369865,0.30
14156300,0.15
14461698,2.80
5505554,0.15
12321299,0.15
13107733,1.00
4719131,0.80
11272732,0.15
12059165,0.15
12845598,0.15
1311267,0.30
2140934,0.15
11010600,0.15
7340585,0.40
13369899,0.30
262701,0.60
14942766,0.15
5505583,1.40
11534898,1.40
12321331,1.60
13894198,0.25
2884151,0.70
1835582,0.80
15204931,0.30
262724,0.15
10224198,0.20
584,0.15
12583498,0.15
12320866,1.40
787022,2.10
11534931,2.10
10748500,0.15
14985998,0.12
13894232,2.10
13894233,0.29
15467100,0.15
5505630,0.15
11272800,2.10
14418531,0.10
15204964,0.40
5505637,0.15
2359910,0.77
3932776,0.40
11797098,0.40
14156398,1.25
787055,2.10
14156400,0.33
14942833,1.40
10748531,0.70
11534965,1.40
3408502,0.80
3408503,0.15
6292088,0.15
6554233,1.40
14680698,0.15
12059264,0.15
12059265,0.15
10224264,1.40
2622089,0.15
3932812,0.60
12321431,0.15
12321432,0.90
13107866,0.15
15467164,0.15
15467165,0.15
4981414,0.15
11797164,0.40
14156464,0.15
3364296,0.40
3408562,2.10
11535032,0.30
13894331,0.15
14680764,0.30
15467198,0.15
524992,0.20
14592800,1.00
2360002,0.40
6030019,0.70
12059332,0.50
15205064,0.15
10224332,0.50
12583631,0.15
14156499,2.50
11535064,0.15
4981466,0.90
5243621,0.75
12845798,0.89
13632233,0.15
525034,0.15
