mid,get_then_use_coupon
8195,0.90
4,0.71
8197,0.14
3819,0.25
13,0.30
14,0.10
15,0.14
17,0.05
18,0.06
8211,0.00
20,0.04
21,0.14
8216,0.13
25,0.16
8218,0.20
8219,0.25
8223,0.19
32,0.10
8225,0.14
8226,0.20
35,0.01
8228,0.12
8230,0.20
8232,0.11
42,0.09
8235,0.09
8236,0.26
8239,0.24
48,0.09
50,0.28
8244,0.23
8245,0.14
8246,0.35
55,0.11
58,0.10
8252,0.25
61,0.25
8254,0.03
8258,0.11
8259,0.08
8261,0.40
8263,0.27
8265,0.11
74,0.27
75,0.22
76,0.02
77,0.30
79,0.14
81,0.06
8274,0.04
84,0.40
8277,0.03
86,0.28
87,0.01
88,0.25
8282,0.05
92,0.25
93,0.17
8286,0.20
96,0.04
8291,0.09
8292,0.36
8209,0.22
105,0.08
8299,0.70
109,0.04
8302,0.20
8304,0.14
8305,0.02
19,0.07
8309,0.06
8310,0.06
8313,0.25
122,0.08
8316,0.06
125,0.12
128,0.25
8321,0.54
132,0.06
133,0.33
8330,0.13
139,0.20
140,0.33
8334,0.25
143,0.17
8336,0.20
8337,0.10
146,0.19
8339,0.50
150,0.06
8217,0.11
152,0.30
8347,0.80
5,0.11
157,0.16
159,0.05
160,0.40
8353,0.20
8354,0.15
8355,0.06
165,0.10
8359,0.15
171,0.15
8364,0.24
173,0.25
8366,0.04
175,0.11
176,0.60
178,0.04
179,0.07
8375,0.08
8377,0.15
187,0.09
8382,0.25
8384,0.12
8385,0.21
8386,0.00
8388,0.25
8389,0.10
8390,0.16
8391,0.11
200,0.67
201,0.06
8394,0.14
8396,0.03
8398,0.17
207,0.03
208,0.05
209,0.03
8402,0.39
211,0.03
212,0.19
8405,0.05
8406,0.60
216,0.70
36,0.30
218,0.12
219,0.08
221,0.75
222,0.30
223,0.30
8418,0.12
8419,0.30
229,0.08
8422,0.12
8423,0.40
8424,0.40
8425,0.06
235,0.10
8429,0.12
8431,0.50
8433,0.25
8435,0.30
