mid,use_coupon_percentage
8195,0.30
4,0.13
8197,0.07
3819,0.10
8204,0.03
13,0.02
14,0.06
15,0.09
17,0.03
18,0.20
8211,0.05
20,0.06
21,0.06
8216,0.23
25,0.08
8218,0.01
8219,0.20
28,0.04
8223,0.90
32,0.70
8225,0.05
8226,0.18
35,0.02
8228,0.11
8230,0.01
40,0.04
42,0.05
8235,0.06
8236,0.14
8239,0.09
48,0.21
50,0.34
8244,0.28
8245,0.07
8246,0.05
55,0.04
58,0.04
8251,0.02
8252,0.60
61,0.15
8254,0.02
8258,0.04
8259,0.03
69,0.06
8263,0.10
8265,0.07
74,0.13
75,0.23
76,0.02
77,0.03
79,0.00
81,0.05
8274,0.03
83,0.07
84,0.11
8277,0.05
86,0.16
87,0.02
88,0.08
8282,0.04
92,0.02
93,0.05
8286,0.07
96,0.04
8291,0.06
8292,0.18
8209,0.03
105,0.15
106,0.10
8299,0.05
109,0.09
8302,0.25
8304,0.15
8305,0.07
19,0.01
8309,0.04
8310,0.03
120,0.00
8313,0.43
122,0.04
8316,0.06
125,0.03
128,0.17
8321,0.30
130,0.04
132,0.05
133,0.19
134,0.03
8330,0.08
139,0.10
140,0.07
8334,0.10
143,0.02
8336,0.15
8337,0.09
146,0.20
8339,0.28
150,0.04
8217,0.12
152,0.11
8347,0.80
5,0.06
157,0.40
159,0.06
160,0.13
8353,0.11
8354,0.12
8355,0.05
165,0.03
8359,0.24
171,0.14
8364,0.14
173,0.22
8366,0.02
175,0.05
176,0.10
178,0.07
179,0.05
8375,0.04
8377,0.07
187,0.08
8380,0.02
189,0.06
8382,0.06
8384,0.12
8385,0.25
8386,0.11
196,0.21
8389,0.08
8390,0.10
8391,0.02
200,0.17
201,0.08
8394,0.08
8396,0.04
34,0.12
8398,0.29
207,0.07
208,0.04
209,0.18
8402,0.14
211,0.05
212,0.13
8405,0.18
8406,0.21
216,0.30
36,0.50
218,0.13
219,0.17
221,0.44
222,0.11
8415,0.02
8418,0.12
8419,0.20
8421,0.14
8422,0.12
8423,0.33
